timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715180992664,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-2,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180992669,5,Sign out (HTTP Request)-1,200,OK,Thread Group 1-2,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1715180992678,6,Sign out (HTTP Request),200,OK,Thread Group 1-6,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180992678,3,Sign out (HTTP Request)-0,302,Found,Thread Group 1-6,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1715180992681,3,Sign out (HTTP Request)-1,200,OK,Thread Group 1-6,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180992677,8,Sign out (HTTP Request),200,OK,Thread Group 1-1,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180992677,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-1,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180992681,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-1,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180992766,8,Sign out (HTTP Request),200,OK,Thread Group 1-4,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180992766,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-4,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180992771,3,Sign out (HTTP Request)-1,200,OK,Thread Group 1-4,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180992844,7,Sign out (HTTP Request),200,OK,Thread Group 1-5,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180992844,3,Sign out (HTTP Request)-0,302,Found,Thread Group 1-5,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1715180992848,3,Sign out (HTTP Request)-1,200,OK,Thread Group 1-5,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180992896,9,Sign out (HTTP Request),200,OK,Thread Group 1-7,text,true,,6095,1006,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
